Title,Author,Rating,Number of users rated,Price
Unfu*k Yourself: Get Out of Your Head and into Your Life ,Hardcover,4.6 out of 5 stars,Other formats: ,$0.00
Talking to GOATs: The Moments You Remember and the Stories You Never Heard ,Jim Gray,4.6 out of 5 stars,"2,114",$14.59
People We Meet on Vacation ,Emily Henry,4.3 out of 5 stars,"21,810",$9.98
Be Right Back!: How To Overcome Your Dog's Separation Anxiety And Regain Your Freedom ,Kindle,4.3 out of 5 stars,Other format: ,$12.95
The London House ,Katherine Reay,4.5 out of 5 stars,162,$9.99
Seven Perfect Things: A Novel ,Catherine Ryan Hyde,4.5 out of 5 stars,"21,189",$0.00
Viral ,Robin Cook,3.8 out of 5 stars,759,$14.99
Night Road: A Novel ,Kristin Hannah,4.6 out of 5 stars,"8,957",$15.99
Atlas of the Heart: Mapping Meaningful Connection and the Language of Human Experience ,Brené Brown,4.4 out of 5 stars,44,$19.48
Talking to Strangers: What We Should Know About the People We Don't Know ,Hardcover,4.5 out of 5 stars,Malcolm Gladwell,$0.00
The Darkest Evening: A Vera Stanhope Novel ,Audible Audiobook,4.6 out of 5 stars,Other formats: ,$10.99
Effortless: Make It Easier to Do What Matters Most ,Hardcover,4.6 out of 5 stars,Greg McKeown,$0.00
Healthy at Last: A Plant-Based Approach to Preventing and Reversing Diabetes and Other Chronic Illnesses ,Eric Adams,4.7 out of 5 stars,643,$16.14
Talking to the Sky: A Memoir of Living My Best Life in a Sh!t Show ,Kindle,4.5 out of 5 stars,Aimee Mayo,$0.00
Game On: Tempting Twenty-Eight (Stephanie Plum Book 28) ,Audible Audiobook,4.6 out of 5 stars,Other formats: ,$15.99
Captain Jack: A Thrilling Mystery Novel (Detective Jack Stratton Mystery Thriller Series Book 9) ,Audible Audiobook,4.5 out of 5 stars,Other formats: ,$0.00
